COUNTY,PRECINCT,timing,election_name,VOTER COUNT
COLLIN,1,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,95
COLLIN,1,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,181
COLLIN,1,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,131
COLLIN,1,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,28
COLLIN,1,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,204
COLLIN,1,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,203
COLLIN,1,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1782
COLLIN,1,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,119
COLLIN,1,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,300
COLLIN,10,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,4
COLLIN,10,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,80
COLLIN,10,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,12
COLLIN,10,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,6
COLLIN,10,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,17
COLLIN,10,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,72
COLLIN,10,EV,2020 NOVEMBER 3RD GENERAL ELECTION,492
COLLIN,10,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,10
COLLIN,10,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,90
COLLIN,100,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,1
COLLIN,100,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,2
COLLIN,100,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,3
COLLIN,100,EV,2020 NOVEMBER 3RD GENERAL ELECTION,13
COLLIN,101,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,87
COLLIN,101,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,243
COLLIN,101,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,126
COLLIN,101,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,35
COLLIN,101,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,214
COLLIN,101,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,207
COLLIN,101,EV,2020 NOVEMBER 3RD GENERAL ELECTION,2683
COLLIN,101,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,84
COLLIN,101,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,254
COLLIN,102,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,43
COLLIN,102,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,245
COLLIN,102,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,80
COLLIN,102,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,96
COLLIN,102,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,160
COLLIN,102,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,269
COLLIN,102,EV,2020 NOVEMBER 3RD GENERAL ELECTION,1930
COLLIN,102,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,87
COLLIN,102,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,378
COLLIN,103,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,17
COLLIN,103,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,51
COLLIN,103,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,48
COLLIN,103,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,8
COLLIN,103,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,89
COLLIN,103,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,56
COLLIN,103,EV,2020 NOVEMBER 3RD GENERAL ELECTION,758
COLLIN,103,EV,2024 MARCH 5TH DEMOCRATIC PRIMARY,46
COLLIN,103,EV,2024 MARCH 5TH REPUBLICAN PRIMARY,54
COLLIN,104,ED,2024 MARCH 5TH DEMOCRATIC PRIMARY,48
COLLIN,104,ED,2024 MARCH 5TH REPUBLICAN PRIMARY,49
COLLIN,104,EV,2020 JULY 14TH DEMOCRATIC PRIMARY RUNOFF,85
COLLIN,104,EV,2020 JULY 14TH REPUBLICAN PRIMARY RUNOFF,13
COLLIN,104,EV,2020 MARCH 3RD DEMOCRATIC PRIMARY,163
COLLIN,104,EV,2020 MARCH 3RD REPUBLICAN PRIMARY,51
